"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"hudscwq",2002-04-08,25,7,8.1,8.7,8.056,0.533916348004691,0.7,25,0.31,0.31,0.33,0.3168,0.00852447456836296,0.01,25,0.2,0.2,0.2,0.2,0,0,25,94.4,105.5,109.6,103.444,5.25111734141728,9.40000000000001,25,11.2,12.3,13.1,12.24,0.662696511735701,1.3,25,0.09,0.11,0.14,0.1128,0.0124230967690562,0.01,0,NA,NA,NA,NA,NA,NA,25,7.9,8.1,8.2,8.108,0.103762549441822,0.199999999999999,25,4,4,4,4,0,0,25,0,25,0
"hudscwq",2002-04-09,48,7.7,9.4,12.6,9.75416666666667,1.94793489485915,3.95,48,0.28,0.3,0.31,0.29875,0.0121383864468023,0.02,48,0.1,0.15,0.2,0.15,0.0505291152639911,0.1,48,90.8,96.8,110.4,99.1375,6.41104847534251,11.325,48,9.9,11.2,12.3,11.2645833333333,0.636643319537759,0.649999999999999,48,0.02,0.045,0.09,0.0445833333333333,0.0211336510256453,0.0325,0,NA,NA,NA,NA,NA,NA,48,7.9,8,8.3,8.04583333333333,0.151528851733924,0.299999999999999,48,3,4,5,3.875,0.443631052382831,0,48,0,48,0
"hudscwq",2002-04-10,48,10.6,11.65,15.3,12.4708333333333,1.6317277533317,2.9,48,0.3,0.3,0.31,0.304166666666667,0.00498223795452014,0.01,48,0.1,0.2,0.2,0.152083333333333,0.0504852341308647,0.1,48,88.4,94.65,113.9,97.7333333333333,9.18686234338537,16.375,48,9.5,10.05,11.9,10.40625,0.809361779034384,1.35,48,0.07,0.17,0.2,0.154791666666667,0.0373590732568399,0.04,0,NA,NA,NA,NA,NA,NA,48,7.8,8,8.4,8.0875,0.193099026518916,0.4,48,3,3.5,7,3.72916666666667,0.892988845403001,1,48,0,48,0
"hudscwq",2002-04-11,48,10.4,11.8,15.9,12.6125,2.01458775678481,3.9,48,0.31,0.33,0.34,0.325208333333333,0.00618494511691825,0.01,48,0.2,0.2,0.2,0.2,0,0,48,87.8,95.3,116.2,98.3541666666667,10.2877319695847,19.35,48,9.3,10.1,12.1,10.4375,0.917588189280127,1.525,48,0.19,0.21,0.25,0.215208333333333,0.0183337362947333,0.03,0,NA,NA,NA,NA,NA,NA,48,7.9,8.1,8.5,8.11666666666667,0.204557990875951,0.4,48,3,4,39,8.97916666666667,8.95494534317719,7.25,48,0,48,0
"hudscwq",2002-04-12,48,10.1,12.1,15.5,12.4375,1.88472301706745,3.525,48,0.34,0.34,0.35,0.342708333333333,0.00449092860289627,0.00999999999999995,48,0.2,0.2,0.2,0.2,0,0,48,86,93.65,114.1,96.5729166666667,10.0046529511902,18.425,48,9.1,10,12,10.3020833333333,0.959940065357215,1.575,48,0.09,0.155,0.2,0.149791666666667,0.0364072463755841,0.07,0,NA,NA,NA,NA,NA,NA,48,7.9,8,8.4,8.0875,0.182913768777833,0.4,48,3,21,72,24.375,15.7812506583105,23,48,0,48,0
"hudscwq",2002-04-13,48,12.7,13.85,16.6,14.2916666666667,1.47516076777419,2.925,48,0.35,0.35,0.36,0.351875,0.00394442779605584,0,48,0.2,0.2,0.2,0.2,0,0,48,84.5,90.5,109.3,93.7833333333333,8.82084893230378,15.725,48,8.5,9.25,10.9,9.58958333333333,0.753781836301187,1.225,48,0.01,0.055,0.09,0.0497916666666667,0.0270137540486586,0.05,0,NA,NA,NA,NA,NA,NA,48,7.8,8,8.3,8.03541666666667,0.174416453612554,0.299999999999999,48,4,7,15,7.5,2.72888411454908,4,48,0,48,0
"hudscwq",2002-04-14,48,13.9,15.15,19.4,16.1625,2.03193912205673,3.775,48,0.36,0.36,0.37,0.361666666666667,0.00376621788577355,0,48,0.2,0.2,0.2,0.2,0,0,48,81.9,91,115.7,94.6104166666667,12.0995030596624,22.025,48,8,9,11,9.29166666666667,1.00569301465025,1.825,48,0.01,0.03,0.07,0.0358333333333333,0.0200884568668372,0.0325,0,NA,NA,NA,NA,NA,NA,48,7.8,8,8.5,8.07708333333333,0.241660552625031,0.425,48,4,5,19,5.54166666666667,2.81302694039284,1,48,0,48,0
"hudscwq",2002-04-15,48,16.7,17.95,21.2,18.25625,1.60966578399686,2.825,48,0.36,0.37,0.39,0.369375,0.0086063435288263,0.0125,48,0.2,0.2,0.2,0.2,0,0,48,80.8,85.3,110.4,90.3854166666667,10.4600962036041,17.15,48,7.6,8.05,10.2,8.49166666666667,0.840423736419664,1.225,48,0,0.03,0.07,0.0297916666666667,0.0224546430144815,0.0325,0,NA,NA,NA,NA,NA,NA,48,7.8,7.9,8.3,8.02291666666667,0.181295084879371,0.299999999999999,48,4,6,8,6.0625,0.976451456452655,2,48,0,48,0
"hudscwq",2002-04-16,48,17.6,19.55,23.3,19.98125,2.01902190876798,3.675,48,0.36,0.36,0.37,0.363541666666667,0.00483321105250063,0.01,48,0.2,0.2,0.2,0.2,0,0,48,77,87.4,113.9,92.175,12.1589035759896,20.825,48,7,7.95,10.1,8.36875,0.973075022801428,1.45,48,0.02,0.06,0.08,0.05125,0.0203819903815818,0.04,0,NA,NA,NA,NA,NA,NA,48,7.8,8,8.4,8.05625,0.228693095468345,0.4,48,3,4,10,4.33333333333333,1.4488929498558,2,48,0,48,0
"hudscwq",2002-04-17,48,19.2,20.6,24.8,21.5333333333333,2.07090619832708,3.9,48,0.36,0.37,0.38,0.368541666666667,0.00743470394131707,0.01,48,0.2,0.2,0.2,0.2,0,0,48,72.4,85.5,115.2,90.0395833333333,14.2663529100681,26.55,48,6.3,7.55,9.9,7.92708333333333,1.13713705144053,1.925,24,0,0.03,0.04,0.02625,0.0109594112821891,0.01,0,NA,NA,NA,NA,NA,NA,48,7.8,7.95,8.4,8.02291666666667,0.230853719303615,0.399999999999999,48,2,3,4,3.0625,0.380718805039413,0,48,0,48,0
