"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"hudtnwq",2002-04-04,18,6.1,7.5,9.9,7.9,1.07976032198872,1.675,18,0.21,0.225,0.25,0.226666666666667,0.0118817705157201,0.0175,18,0.1,0.1,0.1,0.1,0,0,18,86.6,96.45,105.3,96.5722222222222,4.84717086138679,5.72500000000001,18,10.7,11.55,11.9,11.4611111111111,0.318339236163319,0.249999999999998,18,0.88,1.455,1.79,1.42833333333333,0.290035494785197,0.395,0,NA,NA,NA,NA,NA,NA,18,7.5,7.7,7.8,7.65555555555556,0.0855585263892998,0.100000000000001,18,15,29.5,51,28.7222222222222,10.2142089933326,7.75,18,0,18,0
"hudtnwq",2002-04-05,48,6,7.15,8.2,7.0875,0.645318657883658,1.025,48,0.22,0.235,0.25,0.233333333333333,0.0115470053837925,0.02,48,0.1,0.1,0.1,0.1,0,0,48,82.9,94.1,101.4,92.90625,4.83688867158183,4.64999999999998,48,10.3,11.4,12.1,11.2541666666667,0.43708820538969,0.325000000000001,48,0.96,1.455,2.02,1.44020833333333,0.337503283409298,0.5875,0,NA,NA,NA,NA,NA,NA,48,7.4,7.6,7.7,7.60625,0.0954413042303567,0.2,48,10,18.5,28,18.9791666666667,4.67901418664928,7.25,48,0,48,0
"hudtnwq",2002-04-06,48,5.5,6.9,8.8,7.00625,0.907980281443029,1.15,48,0.2,0.23,0.24,0.225208333333333,0.014290241177384,0.03,48,0.1,0.1,0.1,0.1,0,0,48,84.7,93.75,104.2,94.0458333333333,5.5146211201941,6.82499999999999,48,10.6,11.4,12.2,11.40625,0.437306188073825,0.450000000000001,48,0.85,1.395,1.96,1.40395833333333,0.34980687427605,0.635,0,NA,NA,NA,NA,NA,NA,48,7.4,7.7,7.8,7.66041666666667,0.114370773184696,0.100000000000001,48,10,20,96,23.1875,15.6662752704995,9.25,48,0,48,0
"hudtnwq",2002-04-07,48,3.4,7.05,9.8,6.76041666666667,1.91352849784286,2.775,48,0.2,0.22,0.24,0.223333333333333,0.0134216930367086,0.0225,48,0.1,0.1,0.1,0.1,0,0,48,80.7,94.8,108.2,94.4833333333333,7.69736991095655,11.175,48,10.7,11.5,12.3,11.5104166666667,0.398528988418571,0.549999999999999,48,0.97,1.495,2.1,1.54666666666667,0.374633627174509,0.685,0,NA,NA,NA,NA,NA,NA,48,7.5,7.7,7.8,7.67291666666667,0.0643778187429436,0.0249999999999995,48,8,14,26,15.125,5.2089325896391,10,48,0,48,0
"hudtnwq",2002-04-08,48,5.8,6.9,8.3,7.03125,0.708956755275711,1.025,48,0.21,0.235,0.26,0.235208333333333,0.0125460145970545,0.0125,48,0.1,0.1,0.1,0.1,0,0,48,84.2,95.6,99.7,94.4270833333333,4.06048627123221,4.57499999999997,48,10.5,11.6,11.8,11.45625,0.335747023560578,0.399999999999999,48,0.89,1.555,2.09,1.54916666666667,0.365971940171522,0.635,0,NA,NA,NA,NA,NA,NA,48,7.4,7.7,7.8,7.63958333333333,0.0892988845403001,0.100000000000001,48,8,17,31,17.625,6.62883770820361,10.5,48,0,48,0
"hudtnwq",2002-04-09,48,6.9,7.35,11.3,8.16666666666667,1.54772768693585,2.325,48,0.21,0.22,0.24,0.2225,0.00757936728959867,0.01,48,0.1,0.1,0.1,0.1,0,0,48,85.2,96.8,103.9,96.1270833333333,5.07889833855073,4.8,48,10.3,11.6,11.9,11.3375,0.49749371855331,0.725,48,0.94,1.565,2.07,1.54770833333333,0.365718410356601,0.665,0,NA,NA,NA,NA,NA,NA,48,7.4,7.7,7.7,7.61041666666667,0.11529718000156,0.2,48,8,15,36,17,7.64644264389546,13.25,48,0,48,0
"hudtnwq",2002-04-10,48,7.5,9.2,14.9,10.4479166666667,2.36885730449895,3.575,48,0.2,0.22,0.26,0.223541666666667,0.0136037515685045,0.02,48,0.1,0.1,0.1,0.1,0,0,48,83.4,98.65,112.4,97.4104166666667,7.90933301605548,9.52500000000001,48,9.7,10.95,12,10.8875,0.785405438055823,1.625,48,0.82,1.395,2.04,1.37958333333333,0.372912392502944,0.67,0,NA,NA,NA,NA,NA,NA,48,7.3,7.55,7.8,7.53541666666667,0.14945230981086,0.3,48,6,24,47,24.9166666666667,10.3324181704104,16,48,0,48,0
"hudtnwq",2002-04-11,48,7.8,8.5,13.3,9.40208333333333,1.90503136550192,2.675,48,0.2,0.22,0.25,0.225416666666667,0.0147256229624151,0.03,48,0.1,0.1,0.1,0.1,0,0,48,72.9,99.9,110.7,96.9604166666667,10.1344312960834,8.67500000000001,48,8.7,11.55,12.1,11.0958333333333,1.0126767423009,1.5,48,0.97,1.635,2.17,1.61104166666667,0.378801242349697,0.6975,0,NA,NA,NA,NA,NA,NA,48,7.2,7.6,7.7,7.54583333333333,0.174987334901377,0.3,48,6,19,47,21.4583333333333,11.9466158892665,21.25,48,0,48,0
"hudtnwq",2002-04-12,48,7.5,8.8,12.3,9.37291666666667,1.68178471353947,2.55,48,0.21,0.22,0.24,0.220416666666667,0.0109074117555758,0.02,48,0.1,0.1,0.1,0.1,0,0,48,82.6,99.9,108,97.1104166666667,7.90125870886387,12.625,48,8.9,11.4,12.1,11.1395833333333,0.909463153157045,1.7,48,0.95,1.625,2.3,1.63645833333333,0.42436681033784,0.775,0,NA,NA,NA,NA,NA,NA,48,7.1,7.6,7.7,7.53333333333333,0.179043954348234,0.324999999999999,48,7,17,46,19.6666666666667,11.2369703900161,16.5,48,0,48,0
"hudtnwq",2002-04-13,48,8.7,10.1,13.6,10.5145833333333,1.52231480840414,1.4,48,0.2,0.21,0.24,0.212916666666667,0.00988407989956541,0.01,48,0.1,0.1,0.1,0.1,0,0,48,79.6,101.5,107.6,97.7979166666667,7.68052218923237,11.025,48,8.3,11.25,12,10.93125,1.05551363920756,1.925,48,0.85,1.525,2.19,1.52020833333333,0.425533405360865,0.77,0,NA,NA,NA,NA,NA,NA,48,7.1,7.6,7.7,7.525,0.180425030107692,0.324999999999999,48,6,16,53,19.4375,12.2020337509603,15.25,48,0,48,0
