"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"hudtswq",2002-04-04,17,5.8,7.3,9.5,7.40588235294118,1.04968482664756,0.7,17,0.22,0.23,0.24,0.228823529411765,0.00696630546019236,0.01,17,0.1,0.1,0.1,0.1,0,0,17,91.1,96.4,110.3,97.9823529411765,5.71994703801067,4.09999999999999,17,11.4,11.6,12.6,11.7588235294118,0.387393249052903,0.300000000000001,17,0.2,0.64,0.98,0.648823529411765,0.247282286894482,0.4,0,NA,NA,NA,NA,NA,NA,17,7.4,7.5,7.6,7.46470588235294,0.060633906259083,0.0999999999999996,17,9,15,20,14.2352941176471,3.21188051935128,6,17,0,17,0
"hudtswq",2002-04-05,48,5.3,7.15,9.1,7.05416666666667,0.907640929408535,0.925000000000001,48,0.21,0.22,0.26,0.224791666666667,0.0103120634444455,0.01,48,0.1,0.1,0.1,0.1,0,0,48,84.5,94.05,107.3,94.6,4.90323384386872,2.47500000000001,48,10.6,11.4,12.4,11.4541666666667,0.370139900712272,0.225,48,0.17,0.66,1.21,0.650625,0.336739094975779,0.6225,0,NA,NA,NA,NA,NA,NA,48,7.4,7.5,7.6,7.46875,0.0689009464777653,0.0999999999999996,48,8,12,20,12.3958333333333,3.04393071281151,4.25,48,0,48,0
"hudtswq",2002-04-06,48,4.9,7.1,9.4,7.18333333333333,1.05716065594699,0.725,48,0.2,0.21,0.24,0.215,0.00945313186873322,0.01,48,0.1,0.1,0.1,0.1,0,0,48,82.8,93.85,105.9,94.4833333333333,4.82146500793017,2.97500000000001,48,10.6,11.4,12.1,11.4125,0.297239068478199,0.199999999999999,48,0.07,0.605,1.19,0.625,0.342562309909034,0.59,0,NA,NA,NA,NA,NA,NA,48,7.3,7.5,7.8,7.51041666666667,0.113436800913189,0.0999999999999996,48,9,12,29,13.75,4.68814711845259,6,48,0,48,0
"hudtswq",2002-04-07,48,3.8,7.1,11,7.24375,1.82242604846607,1.825,48,0.2,0.2,0.24,0.205625,0.00848183290107168,0.00999999999999998,48,0.1,0.1,0.1,0.1,0,0,48,83.4,94.65,110.8,95.8416666666667,6.66291206328889,7.425,48,11,11.5,12.3,11.5583333333333,0.300944140807767,0.399999999999999,48,0.12,0.665,1.27,0.712291666666667,0.37783954482188,0.72,0,NA,NA,NA,NA,NA,NA,48,7.4,7.5,7.8,7.49583333333333,0.107105701088568,0.0999999999999996,48,6,11,75,17.5416666666667,15.5426090163608,12.25,48,0,48,0
"hudtswq",2002-04-08,48,6.1,6.85,8,6.975,0.536933769044587,0.649999999999999,48,0.2,0.2,0.21,0.200416666666667,0.00201940936523458,0,48,0.1,0.1,0.1,0.1,0,0,48,87.8,94.1,96.9,93.7104166666667,1.82643002362688,2.62500000000001,48,10.9,11.4,11.6,11.3875,0.157945587183176,0.199999999999999,48,0.09,0.755,1.27,0.735,0.367330797638337,0.62,0,NA,NA,NA,NA,NA,NA,48,7.3,7.4,7.5,7.39375,0.0479638605086541,0,48,6,33,127,38.8333333333333,27.6392669586982,37.25,48,0,48,0
"hudtswq",2002-04-09,48,6.9,7.4,11.2,8.13541666666667,1.47784915352257,2.125,48,0.2,0.21,0.22,0.209166666666667,0.00453512688758813,0,48,0.1,0.1,0.1,0.1,0,0,48,88.5,94.75,97.7,94.3104166666667,2.34686205918087,3.8,48,10.2,11.2,11.6,11.1375,0.377914208433832,0.450000000000001,48,0.24,0.845,1.36,0.8125,0.369464822844001,0.6775,0,NA,NA,NA,NA,NA,NA,48,7.3,7.4,7.4,7.36458333333333,0.0483321105250065,0.100000000000001,48,6,19.5,87,28.8958333333333,22.7775921834104,32.75,48,0,48,0
"hudtswq",2002-04-10,44,7.7,8.2,13.3,8.79772727272727,1.39974892040292,1.55,44,0.19,0.2,0.23,0.202954545454545,0.00878146712712987,0.00999999999999998,44,0.1,0.1,0.1,0.1,0,0,44,87.7,98.05,111.4,97.8840909090909,5.67536263288956,6.45000000000002,44,10.5,11.5,11.9,11.3636363636364,0.407539930468174,0.6,44,0.02,0.575,1.29,0.580909090909091,0.362470965520917,0.6,0,NA,NA,NA,NA,NA,NA,44,7.3,7.4,7.6,7.42727272727273,0.0872410090353457,0.0999999999999996,44,6,13,73,18.6363636363636,16.406310341679,11.5,44,0,44,0
"hudtswq",2002-04-11,48,7,8.35,13.4,9.07708333333333,1.91091373747135,3.025,48,0.19,0.19,0.22,0.195208333333333,0.00771557786844068,0.01,48,0.1,0.1,0.1,0.1,0,0,48,82.9,97.65,105.8,96.45625,6.05769797755171,7.34999999999999,48,9.9,11.45,11.8,11.1395833333333,0.626961461143239,1.025,48,0.02,0.7,1.27,0.6925,0.393497681736392,0.695,0,NA,NA,NA,NA,NA,NA,48,7.2,7.4,7.5,7.35208333333333,0.0874936674506884,0.100000000000001,48,5,12.5,108,24.5,27.2646603156478,21,48,0,48,0
"hudtswq",2002-04-12,48,7.3,8.75,12.4,9.44791666666667,1.63563893213388,2.725,48,0.19,0.19,0.2,0.193333333333333,0.00476393067340331,0.01,48,0.1,0.1,0.1,0.1,0,0,48,87,96.2,101.6,95.4291666666667,4.82436009794148,8.92500000000001,48,9.4,11,11.8,10.93125,0.624382673850144,0.950000000000001,48,0.14,0.77,1.4,0.764583333333333,0.421748933751548,0.79,0,NA,NA,NA,NA,NA,NA,48,7.2,7.35,7.4,7.32291666666667,0.0856504110194542,0.2,48,6,28,74,32.2291666666667,21.6973766267323,33,48,0,48,0
"hudtswq",2002-04-13,48,8.6,9.85,13.5,10.35625,1.31843011901405,1.65,48,0.19,0.2,0.2,0.196666666666667,0.00476393067340331,0.01,48,0.1,0.1,0.1,0.1,0,0,48,85.3,96.85,102.2,96.3125,4.82099243777735,7.55000000000001,48,8.9,10.9,11.6,10.79375,0.703911941422076,1.2,48,0.13,0.755,1.4,0.753333333333333,0.420907496449488,0.7825,0,NA,NA,NA,NA,NA,NA,48,7.1,7.4,7.4,7.32916666666667,0.084948879078759,0.100000000000001,48,5,26,64,27.0208333333333,17.9140852502887,29,48,0,48,0
"hudtswq",2002-04-14,48,9.3,10.7,14.8,11.2708333333333,1.68421436111452,2.75,48,0.2,0.2,0.2,0.2,0,0,48,0.1,0.1,0.1,0.1,0,0,48,88.9,99.8,108.7,99.6479166666667,5.29720880268947,8.5,48,9.6,11.1,11.6,10.9291666666667,0.597141536140635,1.2,48,0.13,0.745,1.46,0.7575,0.418022192223678,0.7275,0,NA,NA,NA,NA,NA,NA,48,7.2,7.4,7.5,7.36041666666667,0.0983687879345696,0.100000000000001,48,5,15,71,19.3125,16.0745024078375,14.75,48,0,48,0
