"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"jacb6wq",2002-02-04,20,4.8,5.05,5.7,5.15,0.312039133848034,0.525,20,45.37,47.22,49.62,47.4925,1.50386825780788,2.645,20,28.8,30.15,31.9,30.32,1.06997294604264,1.775,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,20,2.09,2.49,3.09,2.5095,0.31366215482334,0.4775,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"jacb6wq",2002-02-05,48,2.4,3.15,4.8,3.34791666666667,0.797866725748566,1.025,48,47.59,50,50.73,49.69625,0.977116088836854,1.60250000000001,48,30,31.9,32.4,31.5958333333333,0.764632670350525,1.35,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,2.2,2.715,3.22,2.70375,0.325606635145944,0.62,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"jacb6wq",2002-02-06,48,1.9,2.7,3,2.62708333333333,0.334371168036636,0.425,48,45.46,49.455,50.44,48.5820833333333,1.75423252095857,3.31,48,28.6,31.35,32.1,30.7041666666667,1.24404254106185,2.425,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,2.06,2.58,3.18,2.573125,0.330629034585044,0.5475,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"jacb6wq",2002-02-07,48,2.4,3.1,3.4,3.00416666666667,0.271291892212321,0.4,48,46.41,49.36,50.19,48.7410416666667,1.37160604663406,2.65000000000001,48,29.2,31.3,31.9,30.8729166666667,0.988172519896204,1.925,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,2.16,2.585,3.17,2.60791666666667,0.309982554988443,0.524999999999999,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"jacb6wq",2002-02-08,48,2.7,3.4,3.8,3.33125,0.324303673029501,0.525,48,46.1,49.38,50.29,48.7075,1.38490263886994,2.27,48,29.1,31.4,32.1,30.90625,0.991110756633633,1.65,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,2.14,2.695,3.28,2.68208333333333,0.333868099406665,0.555,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"jacb6wq",2002-02-09,48,3.5,3.8,4.3,3.86666666666667,0.260387055054041,0.525,48,45.94,49.075,49.99,48.6508333333333,1.28719525760689,2.40749999999999,48,29,31.2,31.9,30.95625,0.915331877959306,1.725,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,2.14,2.805,3.34,2.795625,0.334892210350124,0.585,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"jacb6wq",2002-02-10,48,4,4.45,5.5,4.56666666666667,0.453043294785779,0.725,48,46.49,49.31,50.19,48.7608333333333,1.32211280513561,2.735,48,29.5,31.5,32.1,31.11875,0.923604467705715,1.825,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,2.21,2.705,3.4,2.72125,0.357590190974041,0.5775,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"jacb6wq",2002-02-11,48,4.4,5.5,6,5.39375,0.450723413796844,0.8,48,45.39,49.045,49.81,48.3560416666667,1.43775643719478,2.0075,48,28.9,31.4,31.9,30.94375,0.977383883292102,1.325,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,1.82,2.5,3.13,2.47416666666667,0.387599449604012,0.6575,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"jacb6wq",2002-02-12,48,4.1,4.4,5,4.47083333333333,0.289503120428068,0.525,48,47.21,49.21,50.2,49.144375,0.776623642387285,0.954999999999998,48,30,31.45,32.1,31.3833333333333,0.54668569418538,0.599999999999998,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,2.03,2.55,3.36,2.58895833333333,0.387145800141724,0.565,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"jacb6wq",2002-02-13,48,4.3,4.7,4.9,4.64583333333333,0.166258365117763,0.3,48,45.59,48.91,49.69,48.0910416666667,1.47346637123591,2.7125,48,28.9,31.25,31.8,30.6625,1.04038147668116,1.925,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,1.92,2.49,3.15,2.484375,0.384214624473841,0.692499999999999,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
