"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"jacbawq",2002-03-14,29,8.6,10.1,10.9,9.95172413793103,0.700826394671305,0.9,29,2.38,10.18,15.93,9.37275862068966,4.46840407476422,8.16,29,1.2,5.8,9.3,5.33103448275862,2.67222532308559,4.9,29,93.3,97.8,102.3,98.1241379310345,2.57857313428706,3.8,29,9.9,10.7,11.3,10.7206896551724,0.343697656113238,0.5,29,1,1.62,2.02,1.58206896551724,0.351663184132049,0.66,0,NA,NA,NA,NA,NA,NA,29,6.3,6.9,7.2,6.83448275862069,0.270285381018135,0.399999999999999,0,NA,NA,NA,NA,NA,NA,29,0,29,0
"jacbawq",2002-03-15,48,10,10.5,12.5,10.9729166666667,0.910865752149962,1.8,48,2.18,7.58,14.89,7.97854166666667,4.03131201365243,7.3725,48,1.1,4.2,8.7,4.49583333333333,2.40008495712515,4.45,48,95.1,97.95,103.6,98.6229166666667,2.48289806504787,2.49999999999999,48,10.1,10.55,11,10.5854166666667,0.287312998079182,0.525,48,1,1.485,1.99,1.49020833333333,0.324033683456187,0.5875,0,NA,NA,NA,NA,NA,NA,48,6.2,6.8,7.1,6.73541666666667,0.256398611983276,0.5,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"jacbawq",2002-03-16,48,11.6,12.45,13.7,12.625,0.598046465141368,1.025,48,1.76,6.815,14.91,7.299375,4.07625109694179,7.01,48,0.9,3.75,8.7,4.10208333333333,2.40792040436532,4.1,48,93.5,98.65,102,98.9520833333333,1.75450660862714,2.625,48,9.6,10.3,10.6,10.2583333333333,0.235952874246635,0.325000000000001,48,0.92,1.42,1.92,1.43166666666667,0.321554292648329,0.595,0,NA,NA,NA,NA,NA,NA,48,6.1,6.7,7.1,6.67916666666667,0.29604365213872,0.450000000000001,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"jacbawq",2002-03-17,48,10.1,11.05,12.2,11.2458333333333,0.658482566800475,1.025,48,3.85,10.995,17.58,10.84625,3.9815989651331,6.91,48,2,6.25,10.4,6.2125,2.42957180361811,4.2,48,94.2,96.05,97,95.8270833333333,0.792448289025942,1.3,48,9.7,10.1,10.5,10.1166666666667,0.193877931911472,0.325000000000001,48,1.2,1.705,2.12,1.69520833333333,0.296884457669434,0.545,0,NA,NA,NA,NA,NA,NA,48,6.5,7,7.2,6.94375,0.194505647240667,0.3,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"jacbawq",2002-03-18,48,9.1,9.5,10.1,9.55208333333333,0.263357683585549,0.4,48,3.96,10.36,17.88,10.6016666666667,4.04985596451693,7.1175,48,2.1,5.9,10.6,6.06041666666667,2.46513903481992,4.35,48,93.3,96.1,98.7,96.1791666666667,1.42006267966748,2.32499999999999,48,9.8,10.6,11.1,10.5729166666667,0.323372904648786,0.4,48,1.32,1.865,2.16,1.80895833333333,0.275165246934578,0.485,0,NA,NA,NA,NA,NA,NA,48,6.5,7,7.2,6.95208333333333,0.201049992018851,0.3,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"jacbawq",2002-03-19,48,9,9.1,9.6,9.2375,0.18522556691315,0.300000000000001,48,1.98,6.55,15.14,7.50125,3.88284312645783,7.09,48,1,3.6,8.8,4.19791666666667,2.29796298169666,4.2,48,93.4,95.8,99.3,96.3125,1.52979278251886,2.19999999999999,48,10.2,10.8,11.2,10.7875,0.263870535631525,0.4,48,1.2,1.69,2.13,1.66604166666667,0.303649711284435,0.5425,0,NA,NA,NA,NA,NA,NA,48,6.2,6.75,7.1,6.70833333333333,0.25915848542422,0.4,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"jacbawq",2002-03-20,48,8.6,8.8,9,8.79583333333333,0.12709241625488,0.200000000000001,48,1.34,7.685,13.94,7.71666666666667,4.02769261506119,7.3875,48,0.7,4.25,8.1,4.33541666666667,2.3660263468015,4.375,48,92.9,97.45,99.9,97.3270833333333,1.68898050368972,2.55,48,10.2,11.05,11.5,11.0020833333333,0.320564384831963,0.349999999999998,48,1.31,1.87,2.19,1.806875,0.287935839853847,0.535,0,NA,NA,NA,NA,NA,NA,48,6,6.85,7.1,6.74375,0.298867543421226,0.5,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"jacbawq",2002-03-21,48,8.2,8.7,10.1,8.97291666666667,0.600262206299927,1.1,48,0.34,3.45,9.75,3.86104166666667,2.79703736849906,4.84,48,0.2,1.85,5.5,2.09791666666667,1.56714805113761,2.675,48,96.3,98.3,102.4,98.8083333333333,1.46430338289684,2.12500000000001,48,10.8,11.3,11.5,11.2791666666667,0.170054225811393,0.200000000000001,48,1.16,1.61,2.04,1.605,0.292771060074286,0.5675,0,NA,NA,NA,NA,NA,NA,48,5.2,6.5,6.9,6.29166666666667,0.523016347058847,0.8,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"jacbawq",2002-03-22,48,6.9,7.9,9.3,7.92708333333333,0.525413548705323,0.5,48,0.12,1.41,5.95,1.87,1.82945521480541,2.62,48,0.1,0.7,3.2,0.9875,0.984264494810557,1.35,48,98.1,99.4,102.1,99.8708333333333,1.2959771362137,2.52500000000001,48,11.2,11.8,12.1,11.7833333333333,0.28977858997116,0.5,48,0.8,1.255,1.81,1.25729166666667,0.297061778683509,0.5025,0,NA,NA,NA,NA,NA,NA,48,4.7,6.05,6.8,5.78333333333333,0.739848556479515,1.4,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"jacbawq",2002-03-23,48,5.5,6.75,7.9,6.67291666666667,0.644036335479948,1.1,48,0.13,0.665,8.35,1.74333333333333,2.13943055988442,2.295,48,0.1,0.3,4.6,0.929166666666667,1.16508758383831,1.2,48,94.6,99.5,103.4,99.6125,2.26439837484485,4.34999999999999,48,11.3,12.2,12.4,12.1333333333333,0.199289518180806,0.300000000000001,48,0.68,1.15,1.74,1.17416666666667,0.294169102716291,0.4125,0,NA,NA,NA,NA,NA,NA,48,4.6,5.7,6.8,5.65625,0.705270809614021,1.225,0,NA,NA,NA,NA,NA,NA,48,0,48,0
