"station","date","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","maxwspd_nValid","maxwspd_min","maxwspd_median","maxwspd_max","maxwspd_mean","maxwspd_sd","maxwspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totpar_nValid","totpar_total","totprcp_nValid","totprcp_total"
"jobjbmet",2002-01-01,96,21.4,24.5,29.7,25.4375,2.98223688564562,6.2,0,NA,NA,NA,NA,NA,NA,96,1015,1016.5,1018,1016.45833333333,0.961541160590004,1,96,0.2,1.1,6.1,1.42395833333333,1.32273598365514,1.75,0,NA,NA,NA,NA,NA,NA,96,0,95.5,353,91.125,59.2532921581489,95,96,30032.8,96,0
"jobjbmet",2002-01-02,96,20.5,24.5,29.7,25.1802083333333,3.16745356104924,6.4,0,NA,NA,NA,NA,NA,NA,96,1016,1017,1019,1017.27083333333,1.05110635113841,2,96,0.2,0.4,5.3,1.31145833333333,1.49637244109083,2.075,0,NA,NA,NA,NA,NA,NA,96,0,120.5,355,113.010416666667,85.7703782496482,117.75,96,31459.2,96,0
"jobjbmet",2002-01-03,96,21.7,24.25,29.7,25.3354166666667,2.83396613160562,5.8,0,NA,NA,NA,NA,NA,NA,96,1017,1017,1020,1017.76041666667,0.992018587120716,1,96,0.2,1.3,5.9,1.69895833333333,1.49254249990916,1.45,0,NA,NA,NA,NA,NA,NA,96,0,70.5,355,90.9479166666667,67.4251818945175,102.25,96,31552.7,96,0
"jobjbmet",2002-01-04,96,21.9,25.3,29.7,25.3895833333333,2.62231232499574,5.225,0,NA,NA,NA,NA,NA,NA,96,1016,1018,1020,1017.83333333333,1.0629320586959,2,96,0.2,0.85,4.3,1.15833333333333,1.05048025775348,1.7,0,NA,NA,NA,NA,NA,NA,96,0,95.5,355,114.145833333333,101.118479665314,140.5,96,29328.2,96,0
"jobjbmet",2002-01-05,96,19.6,24.25,31.5,24.6041666666667,3.15474301786563,5.15000000000001,0,NA,NA,NA,NA,NA,NA,96,1017,1019,1021,1018.92708333333,1.07844714548931,2,96,0.2,0.8,5.8,1.28020833333333,1.31033300642215,1.725,0,NA,NA,NA,NA,NA,NA,96,0,84,348,117.802083333333,98.0335731741848,88.25,96,19278.5,96,0
"jobjbmet",2002-01-06,96,21.8,24.4,29.6,25.1989583333333,2.32489930927032,4.3,0,NA,NA,NA,NA,NA,NA,96,1017,1018,1020,1018.35416666667,0.962225125935951,1,96,0.2,1.35,4.3,1.39166666666667,0.983620237657717,1.5,0,NA,NA,NA,NA,NA,NA,96,1,102,355,111.6875,72.6955167661303,61.5,96,25035.2,96,0.3
"jobjbmet",2002-01-07,96,21.5,25.15,29.5,25.196875,2.72688189484273,5.9,0,NA,NA,NA,NA,NA,NA,96,1016,1017,1019,1017.13541666667,1.03231769555762,2,96,0.2,0.9,5.4,1.334375,1.34335229732816,1.8,0,NA,NA,NA,NA,NA,NA,96,0,84,355,99.3125,88.4647194024113,125.25,96,25514.8,96,0
"jobjbmet",2002-01-08,96,21.7,24.6,29.3,25.4072916666667,2.65917457678592,5.525,0,NA,NA,NA,NA,NA,NA,96,1016,1018,1020,1017.54166666667,1.14171308651947,1,96,0.2,1.1,4.8,1.340625,1.04685776694378,1.4,0,NA,NA,NA,NA,NA,NA,96,0,108,355,108.5,88.6172134876503,125.75,96,32750.8,96,0
"jobjbmet",2002-01-09,96,19.9,24.2,29.8,24.925,3.34015442441624,6.8,0,NA,NA,NA,NA,NA,NA,96,1016,1018,1020,1017.91666666667,1.00175284972384,2,96,0.2,0.85,4.8,1.396875,1.34120551625845,2.025,0,NA,NA,NA,NA,NA,NA,96,0,117,354,114.875,97.1864458819124,125.5,96,33635.9,96,0
"jobjbmet",2002-01-10,96,20.4,23.3,29.2,24.7979166666667,3.09845391553056,6.225,0,NA,NA,NA,NA,NA,NA,96,1015,1018,1020,1017.95833333333,1.28895442462949,2,96,0.2,0.85,6.9,1.525,1.64111643642209,2.025,0,NA,NA,NA,NA,NA,NA,96,0,79,354,93.2291666666667,83.8418911958589,125.5,96,34084.5,96,0
"jobjbmet",2002-01-11,96,22.4,23.9,29.4,25.2114583333333,2.57108905009313,5.025,0,NA,NA,NA,NA,NA,NA,96,1016,1017,1019,1017.48958333333,0.940266386293258,1,96,0.2,1.1,4.4,1.31875,1.01942321153215,1.4,0,NA,NA,NA,NA,NA,NA,96,3,72.5,348,86.34375,56.6469821976887,73.5,96,29397.9,96,0
"jobjbmet",2002-01-12,96,22.1,24.1,29.3,25.3958333333333,2.38856559759934,4.7,0,NA,NA,NA,NA,NA,NA,96,1015,1017,1019,1017.1875,1.07910781862172,2,96,0.2,1.3,6.1,1.71458333333333,1.45941438627869,1.775,0,NA,NA,NA,NA,NA,NA,96,1,95.5,271,101.864583333333,47.4706823189278,68.5,96,32840.5,96,0
"jobjbmet",2002-01-13,96,22.9,24.85,29.6,25.5229166666667,2.12882370122028,4.325,0,NA,NA,NA,NA,NA,NA,96,1016,1017,1019,1017.52083333333,1.0460871118669,1,96,0.2,1,5.8,1.36145833333333,1.40303203937357,1.725,0,NA,NA,NA,NA,NA,NA,96,4,99.5,226,97.8541666666667,49.8433291037061,78.75,96,24611,96,0.3
"jobjbmet",2002-01-14,96,23.1,25.5,29.5,25.8385416666667,2.1403575594877,4.4,0,NA,NA,NA,NA,NA,NA,96,1017,1019,1021,1018.72916666667,0.87634608240144,1,96,0.2,1.4,5.8,1.63125,1.31607970483314,2,0,NA,NA,NA,NA,NA,NA,96,48,106,204,111.625,32.3950126115929,46.75,96,31050.3,96,0.3
"jobjbmet",2002-01-15,96,22.1,24.15,31,25.8979166666667,2.62421834644615,4.9,0,NA,NA,NA,NA,NA,NA,96,1017,1018,1020,1018.34375,0.84390227670719,1,96,0.2,1.7,4.6,1.865625,1.19065025356558,1.75,0,NA,NA,NA,NA,NA,NA,96,36,100,237,106.947916666667,37.5646445734526,50.75,96,35201.1,96,0
"jobjbmet",2002-01-16,96,20.7,24.8,30.1,25.0729166666667,3.13481231425647,6.3,0,NA,NA,NA,NA,NA,NA,96,1015,1017,1019,1017.16666666667,1.07278944485041,2,96,0.2,1.1,5.8,1.48854166666667,1.417549389591,2.1,0,NA,NA,NA,NA,NA,NA,96,0,99,354,105.96875,77.108734316514,105.75,96,34163.3,96,0.3
