"station","date","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","maxwspd_nValid","maxwspd_min","maxwspd_median","maxwspd_max","maxwspd_mean","maxwspd_sd","maxwspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totpar_nValid","totpar_total","totprcp_nValid","totprcp_total"
"kacapmet",2014-01-01,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"kacapmet",2014-01-02,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"kacapmet",2014-01-03,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"kacapmet",2014-01-04,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"kacapmet",2014-01-05,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"kacapmet",2014-01-06,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"kacapmet",2014-01-07,41,0.1,0.5,0.9,0.495121951219512,0.194873317198886,0.2,41,91,93,95,92.9756097560976,1.17234391025093,2,41,992,995,997,994.634146341463,1.66967208698258,3,41,0.7,2.2,3.2,2.14878048780488,0.667128904792587,0.9,41,1.4,4.2,6.7,4.24634146341463,1.27829917487566,1.6,41,19,40,88,41.6341463414634,15.4656976848136,18,14,459.2,41,0
"kacapmet",2014-01-08,96,-2.1,0.15,0.8,-0.313541666666667,0.87906886044468,1.5,96,89,98,99,96.6979166666667,2.6719588385841,2,96,989,990,992,989.96875,0.732021354304569,0.25,96,0.7,1.7,4.1,1.7125,0.622938706117181,0.625,96,1.2,2.5,7.2,2.96979166666667,1.27618838665991,1.35,96,5,69,358,70.9166666666667,51.3076718725617,53.75,30,986.7,96,0.9
"kacapmet",2014-01-09,96,-3.1,-1.3,1.5,-1.1,1.24646869616782,2.1,96,89,97,98,95.9791666666667,2.66351238886063,4,96,988,990,994,990.177083333333,1.77701578150541,2,96,0.7,1.9,4.4,2.03645833333333,0.860124812444366,0.925,96,1.4,2.6,5.5,2.84895833333333,1.00629542503985,0.9,96,2,96.5,353,119.90625,92.4719107422129,11,31,838.3,96,0
"kacapmet",2014-01-10,96,-6.1,-3.8,-2.1,-3.98020833333333,1.19433926165467,2.15,96,94,97,99,96.8125,1.40159683369025,2,96,992,995,995,994.21875,1.11641460889195,2,96,1.5,2.2,2.8,2.12916666666667,0.313861071064611,0.5,96,2,2.9,3.8,2.85520833333333,0.413424668035606,0.625,96,73,96,105,94.2708333333333,6.12067964349104,7,48,1454.5,96,0
"kacapmet",2014-01-11,96,-6.2,-4.7,-3,-4.71145833333333,0.815877930971058,1,96,84,91,98,91.2916666666667,4.02601191377082,6.25,96,983,986,992,986.34375,2.47865891158909,4,96,1.7,2.55,4.5,2.76770833333333,0.762474474694992,1.3,96,2.8,4.35,8.7,4.59583333333333,1.52694512131536,2.5,96,32,70,107,68.4270833333333,26.0051593227865,54.5,89,1796.6,96,0
