"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"kachowq",2002-01-01,48,2.5,3.1,3.8,3.1375,0.274152465734097,0.3,48,47.12,48.645,49.34,48.5939583333333,0.482787736201895,0.454999999999998,48,29.7,30.8,31.4,30.79375,0.369246645355626,0.300000000000001,48,103.2,104.3,105.1,104.197916666667,0.42551074858706,0.624999999999986,48,11,11.4,11.6,11.3354166666667,0.131261608740248,0.0999999999999996,48,2.41,7.02,10.22,6.821875,2.42163269721334,4.0175,48,7.9,8,8,7.9875,0.0334218682391595,0,48,3,6,25,7.10416666666667,4.54406127905439,4,48,0,48,0
"kachowq",2002-01-02,48,2.8,3.4,4.3,3.46666666666667,0.353904262407723,0.425,48,47.63,48.6,49.58,48.6652083333333,0.487760795853491,0.712499999999999,48,30.1,30.8,31.6,30.8875,0.393362482391485,0.525000000000002,48,102.6,103.5,104.5,103.489583333333,0.521144233448608,0.725000000000009,48,10.8,11.2,11.4,11.1625,0.157945587183176,0.200000000000001,48,2.65,6.895,9.95,6.78,2.27287801434329,4.075,48,7.9,8,8,7.99375,0.024462302739504,0,48,3,5,15,6.08333333333333,2.79690812066843,3.25,48,0,48,0
"kachowq",2002-01-03,48,3.2,3.5,4.2,3.57083333333333,0.280545314982919,0.325,48,48.44,48.71,49.45,48.8022916666667,0.308456966779176,0.430000000000007,48,30.7,30.9,31.5,31.0041666666667,0.256787297801228,0.325000000000003,48,102.2,103,103.7,103.052083333333,0.382037974793602,0.600000000000009,48,10.8,11.1,11.2,11.0708333333333,0.0966642210500121,0,48,3.06,6.735,9.51,6.69291666666667,2.07479807613599,3.7425,48,8,8,8,8,0,0,48,2,4,7,4.14583333333333,1.0913505849592,2,48,0,48,0
"kachowq",2002-01-04,48,2.8,3.4,4.2,3.46041666666667,0.333734244720692,0.4,48,48.27,48.605,49.45,48.714375,0.336268043097335,0.427499999999995,48,30.5,30.85,31.5,30.9270833333333,0.276559087860107,0.400000000000002,48,102.4,102.8,103.8,102.88125,0.266303498271219,0.399999999999991,48,10.8,11.1,11.4,11.1020833333333,0.124609318550033,0.0999999999999996,48,3.1,6.87,9.38,6.7275,1.892328859009,3.4925,48,7.9,8,8,7.99583333333333,0.0201940936523458,0,48,2,4,15,4.39583333333333,2.19030342144968,2,48,0,48,0
"kachowq",2002-01-05,48,2.4,3.1,3.6,3.06875,0.381015580180687,0.625,48,47.95,48.36,49.13,48.44625,0.3414463915432,0.552500000000002,48,30.2,30.6,31.2,30.6604166666667,0.301584174293674,0.5,48,102.8,103.5,104,103.4375,0.323954948273117,0.5,48,11.1,11.3,11.5,11.2770833333333,0.120706401905587,0.200000000000001,48,3.84,6.885,9.24,6.788125,1.64199626330982,2.9225,48,7.9,8,8,7.95833333333333,0.0498223795452012,0.0999999999999996,48,3,18.5,59,21.6458333333333,17.8748481122347,31.5,48,0,48,0
"kachowq",2002-01-06,48,2.7,3.4,3.7,3.26666666666667,0.311709994333476,0.625,48,47.37,48.65,49.13,48.47625,0.515832832067034,0.917499999999997,48,29.9,30.85,31.2,30.71875,0.394998653377721,0.725000000000005,48,103,103.7,104.1,103.639583333333,0.21707884961542,0.299999999999997,48,11.1,11.2,11.4,11.2395833333333,0.114370773184697,0.225000000000001,48,4.3,6.885,9.23,6.74020833333333,1.57028861635448,2.8725,48,7.9,8,8,7.98125,0.0394442779605582,0,48,3,5,30,9.70833333333333,7.62961289370578,11,48,0,48,0
"kachowq",2002-01-07,34,3.3,3.55,4.4,3.83529411764706,0.465723518540695,0.9,34,48.38,48.99,49.59,49.0779411764706,0.448875898431307,0.809999999999995,34,30.7,31.15,31.7,31.2411764705882,0.38778129345135,0.700000000000003,34,102.2,103.3,103.7,103.097058823529,0.497560895689951,0.799999999999997,34,10.7,11.1,11.2,10.9941176470588,0.204407757177402,0.399999999999999,34,4.56,6.235,9.12,6.53794117647059,1.59551222783224,2.915,34,8,8,8,8,0,0,34,2,3,6,3.23529411764706,1.1297310897359,2,34,0,34,0
"kachowq",2002-01-08,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"kachowq",2002-01-09,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"kachowq",2002-01-10,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
