"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"kachswq",2004-02-13,58,1,1.6,1.8,1.5051724137931,0.274291696309325,0.5,58,49.17,49.485,50.05,49.5287931034483,0.273861775778046,0.5,58,30.9,31.05,31.6,31.1534482758621,0.222596730198853,0.399999999999999,58,98.7,100.05,101.4,99.9103448275862,0.642825357629404,0.899999999999991,58,11.1,11.3,11.6,11.301724137931,0.144478954104286,0.200000000000001,58,0.54,0.56,0.69,0.57551724137931,0.0319633789242705,0.0199999999999999,0,NA,NA,NA,NA,NA,NA,58,7.4,7.6,7.7,7.58793103448276,0.0532375879839579,0,58,7,77.5,216,72.1379310344828,61.0810356981614,108,58,0,58,0
"kachswq",2004-02-14,96,1.4,1.8,2,1.78020833333333,0.135817053162792,0.2,96,47.41,49.125,50.02,49.0410416666667,0.587892720551286,0.69250000000001,96,29.8,30.9,31.6,30.871875,0.403329074212687,0.400000000000002,96,98.1,99.1,100.2,99.1052083333333,0.531407226475965,0.65000000000002,96,11,11.2,11.3,11.1572916666667,0.0736203514006207,0.0999999999999996,96,0.58,0.7,0.77,0.682916666666667,0.0484043640195835,0.08,0,NA,NA,NA,NA,NA,NA,96,7.6,7.6,7.7,7.63020833333333,0.0461571495668913,0.100000000000001,96,2,10,37,12.2291666666667,8.92008870225741,10,96,0,96,0
"kachswq",2004-02-15,96,1.3,1.5,1.8,1.50833333333333,0.120233690581622,0.2,96,47.18,48.515,49.78,48.4244791666667,0.781069266814029,1.435,96,29.5,30.4,31.4,30.3958333333333,0.551346040287178,1,96,97.1,97.85,99.1,98.0208333333333,0.503025931458109,0.799999999999997,96,11,11.1,11.3,11.1458333333333,0.114171308651948,0.300000000000001,96,0.71,0.72,0.78,0.722291666666667,0.0118303060125627,0.02,0,NA,NA,NA,NA,NA,NA,96,7.6,7.6,7.7,7.60833333333333,0.0277836251155498,0,96,2,4,8,4.33333333333333,1.211060141639,1,96,0,96,0
"kachswq",2004-02-16,96,0.9,1.3,1.5,1.24791666666667,0.128946473323066,0.1,96,46.83,47.36,48.23,47.3438541666667,0.301931919100862,0.402500000000003,96,29.2,29.6,30.2,29.5958333333333,0.226142324382662,0.300000000000001,96,97.5,98.3,100.1,98.3854166666667,0.483186608098376,0.700000000000003,96,11.2,11.3,11.5,11.33125,0.0548922389298964,0.0999999999999996,96,0.65,0.71,0.81,0.710208333333333,0.0365622516485792,0.0524999999999999,0,NA,NA,NA,NA,NA,NA,96,7.6,7.6,7.7,7.60208333333333,0.0143575886163797,0,96,3,47.5,140,57.3541666666667,38.8012422933696,47.75,96,0,96,0
"kachswq",2004-02-17,96,0.5,0.8,1.6,0.860416666666667,0.244725051592993,0.3,96,47.2,47.98,49.7,48.0747916666667,0.631105928495729,0.875,96,29.4,29.9,31.3,30.025,0.473730991841972,0.725000000000001,96,96.8,97.4,98.4,97.4135416666667,0.33010996307185,0.399999999999991,96,11,11.3,11.5,11.290625,0.0941198843580835,0.0249999999999986,96,0.59,0.62,0.71,0.621458333333333,0.0242347799949475,0.04,0,NA,NA,NA,NA,NA,NA,96,7.6,7.6,7.7,7.625,0.0435285750066009,0.0249999999999995,96,1,20,75,27.8854166666667,20.321039028381,37.5,96,0,96,0
"kachswq",2004-02-18,96,-0.1,0.5,1.3,0.560416666666667,0.334185314700397,0.6,96,48.19,49.155,49.8,49.1225,0.413946347909204,0.385000000000005,96,29.9,30.7,31.3,30.6770833333333,0.345338633705852,0.399999999999999,96,96.2,97.2,98.3,97.125,0.528752255189915,0.825000000000003,96,11.1,11.3,11.6,11.2958333333333,0.0961541160590007,0.200000000000001,96,0.56,0.59,0.64,0.59375,0.0150262927458575,0.0225,0,NA,NA,NA,NA,NA,NA,96,7.6,7.7,7.7,7.65208333333333,0.0502188194262015,0.100000000000001,96,-1,7,30,7.97916666666667,6.98566828610612,7,96,0,96,0
"kachswq",2004-02-19,96,-0.4,0,1.2,0.144791666666667,0.424975489489296,0.6,96,48.99,49.17,49.79,49.2372916666667,0.208192619145508,0.227499999999992,96,30.4,30.6,31.3,30.6572916666667,0.231582560777232,0.300000000000001,96,96.1,97,98.1,97.0604166666667,0.455949943389835,0.600000000000009,96,11.2,11.4,11.7,11.4135416666667,0.119313643872086,0.199999999999999,96,0.47,0.51,0.62,0.516354166666667,0.0328351477813724,0.02,0,NA,NA,NA,NA,NA,NA,96,7.6,7.6,7.7,7.62291666666667,0.0422502984521798,0,96,0,49.5,181,57.4479166666667,46.4594604929744,60.5,96,0,96,0
"kachswq",2004-02-20,96,-0.1,0.8,1.7,0.808333333333333,0.382695884941133,0.4,96,49.25,49.575,49.88,49.57375,0.144835660046318,0.214999999999996,96,30.6,31.1,31.4,31.0385416666667,0.182017808074211,0.225000000000005,96,95.9,96.8,98,96.859375,0.53618106230913,0.825000000000003,96,10.9,11.1,11.4,11.1708333333333,0.120452363736975,0.200000000000001,96,0.47,0.52,0.55,0.522083333333333,0.0136046947521158,0.0125,0,NA,NA,NA,NA,NA,NA,96,7.6,7.7,7.7,7.67604166666667,0.042906978126289,0,96,2,7,17,7.63541666666667,3.74199437864684,6,96,0,96,0
"kachswq",2004-02-21,96,0.2,1,1.9,1.02395833333333,0.408010524030077,0.5,96,48.96,49.52,49.82,49.5001041666667,0.187782039338819,0.299999999999997,96,30.5,31,31.4,31.0364583333333,0.207298306117774,0.300000000000001,96,96.2,97.1,97.8,97.0447916666667,0.361246319716578,0.524999999999991,96,10.9,11.1,11.4,11.1197916666667,0.122791900698674,0.199999999999999,96,0.41,0.44,0.56,0.455416666666667,0.0413181919069088,0.0425,0,NA,NA,NA,NA,NA,NA,96,7.6,7.7,7.7,7.65833333333333,0.0495594627783355,0.100000000000001,96,1,6,35,9.82291666666667,8.42301957565871,10,96,0,96,0
"kachswq",2004-02-22,96,1.2,1.5,2.4,1.58958333333333,0.284504802167099,0.325,96,48.68,49.54,49.72,49.525625,0.164161746297268,0.175000000000004,96,30.5,31.2,31.4,31.1708333333333,0.145034781067502,0.199999999999999,96,96.2,97.2,98,97.153125,0.35951813511099,0.400000000000006,96,10.8,11,11.2,10.9645833333333,0.0917423929634856,0.0999999999999996,96,0.56,0.62,0.63,0.606145833333333,0.02527198539122,0.05,0,NA,NA,NA,NA,NA,NA,96,7.6,7.7,7.7,7.68645833333333,0.0343964247428091,0,96,0,3,10,3.27083333333333,1.98668815483493,2,96,0,96,0
