"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"kacpgwq",2002-06-21,28,7.5,7.5,7.6,7.54285714285714,0.0503952630678968,0.0999999999999996,28,49.02,49.09,49.11,49.0835714285714,0.0166030532029919,0.0100000000000051,28,31.6,31.7,31.7,31.6964285714286,0.018898223650461,0,28,106,107.35,118.8,107.878571428571,2.70956565370652,1.77499999999999,28,10.3,10.4,11.6,10.5107142857143,0.276672403841834,0.125,28,9.01,11.665,13.68,11.3335714285714,1.49930407136534,2.56,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,28,0,28,0
"kacpgwq",2002-06-22,48,7.5,7.5,7.7,7.54375,0.0542109747858681,0.0999999999999996,48,49.02,49.08,49.11,49.0789583333333,0.0184782313942922,0.0125000000000028,48,31.6,31.7,31.7,31.6958333333333,0.0201940936523455,0,48,104.5,106.65,113.2,107.166666666667,2.07172795935872,2.12499999999999,48,10.2,10.4,11,10.43125,0.199100370282952,0.199999999999999,48,7.68,10.785,13.62,10.7522916666667,1.8256741565478,3.31,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"kacpgwq",2002-06-23,48,7.4,7.5,7.6,7.48541666666667,0.0412030949742975,0,48,49.06,49.12,49.16,49.1110416666667,0.0226198541422886,0.019999999999996,48,31.7,31.7,31.7,31.7,0,0,48,104.2,105.6,108,105.614583333333,0.894662561690596,1.175,48,10.2,10.3,10.5,10.3,0.0771844984987963,0.125000000000002,48,7.38,10.925,13.86,10.7933333333333,1.97868571610566,3.4225,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"kacpgwq",2002-06-24,48,7.3,7.4,7.5,7.36041666666667,0.0609833717598961,0.100000000000001,48,49.08,49.16,49.19,49.150625,0.0285393531960873,0.0300000000000011,48,31.7,31.7,31.7,31.7,0,0,48,102.6,104.5,107,104.510416666667,1.06835319351762,1.40000000000001,48,10,10.2,10.5,10.2166666666667,0.103827461896994,0.100000000000001,48,7.26,10.855,14.02,10.8685416666667,2.0919338397082,3.5275,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"kacpgwq",2002-06-25,48,7.2,7.3,7.5,7.32083333333333,0.0503533612870861,0,48,49.12,49.195,49.21,49.1839583333333,0.0242977613304975,0.0300000000000011,48,31.7,31.7,31.8,31.71875,0.0394442779605589,0,48,102.4,104.2,107.2,104.110416666667,1.21886581100966,2.09999999999999,48,10,10.2,10.5,10.2,0.112986536573207,0.200000000000001,48,7.27,11.08,14.11,10.9741666666667,2.11581867192873,3.6375,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"kacpgwq",2002-06-26,48,7.3,7.3,7.5,7.34583333333333,0.0581938555407275,0.100000000000001,48,49.11,49.19,49.22,49.18625,0.0271814235689387,0.0300000000000011,48,31.7,31.7,31.8,31.7458333333333,0.0503533612870866,0.100000000000001,48,102.1,103.4,107.7,103.610416666667,1.15210068696612,0.725000000000009,48,10,10.1,10.5,10.1375,0.114157412784352,0,48,7.47,10.975,14.1,11.0391666666667,2.07904932584361,3.5825,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"kacpgwq",2002-06-27,48,7.3,7.4,7.5,7.4125,0.0732962511014849,0.0999999999999996,48,49.08,49.16,49.2,49.1495833333333,0.0354879861801222,0.0600000000000023,48,31.7,31.7,31.8,31.70625,0.0244623027395044,0,48,102,103.5,107,103.627083333333,1.15808712113633,1.45000000000002,48,10,10.1,10.4,10.1229166666667,0.105668255128227,0.0999999999999996,48,7.62,11.17,13.86,11.0277083333333,1.9491681145177,3.38,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"kacpgwq",2002-06-28,48,7.4,7.6,7.9,7.61666666666667,0.171765963157113,0.225000000000001,48,49.05,49.12,49.17,49.115625,0.0372402350473645,0.0700000000000003,48,31.7,31.7,31.7,31.7,0,0,48,102.7,104.95,108.4,104.86875,1.64331738300202,2.45000000000002,48,10,10.2,10.6,10.1958333333333,0.139845406033421,0.0999999999999996,48,7.84,11.215,13.57,11.0129166666667,1.77877672325834,3.105,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"kacpgwq",2002-06-29,48,7.7,7.9,8.1,7.875,0.131278492348105,0.125000000000001,48,49.02,49.07,49.12,49.0716666666667,0.028309334851181,0.0500000000000043,48,31.7,31.7,31.7,31.7,0,0,48,103.6,105.6,113.6,106.041666666667,2.17723554305203,2.05,48,10.1,10.2,11,10.2583333333333,0.200884568668373,0.200000000000001,48,8.22,11.09,13.16,10.9816666666667,1.54902073847542,2.6025,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"kacpgwq",2002-06-30,48,7.9,8,8.2,8.05208333333333,0.101036297108184,0.0999999999999996,48,49.02,49.04,49.09,49.048125,0.0251511388854269,0.0399999999999991,48,31.7,31.7,31.7,31.7,0,0,48,103.7,105.7,109.8,105.839583333333,1.57935343400505,1.7,48,9.9,10.2,10.6,10.2,0.151587345791974,0.125,48,8.62,11.075,12.76,10.976875,1.32731396701055,2.3075,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"kacpgwq",2002-07-01,48,8.1,8.2,8.3,8.18958333333333,0.0627035691859125,0.0250000000000004,48,49,49.035,49.06,49.036875,0.017763966635814,0.019999999999996,48,31.7,31.7,31.7,31.7,0,0,48,102.8,105.55,109.8,105.447916666667,1.70543431584853,2.27500000000001,48,9.9,10.1,10.5,10.11875,0.159328711467432,0.199999999999999,48,9.04,11.075,12.51,10.9683333333333,1.11139041406801,2.0575,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"kacpgwq",2002-07-02,48,8.2,8.3,8.5,8.35625,0.0896951100448482,0.0999999999999996,48,48.96,48.995,49.03,48.9972916666667,0.0229467082266666,0.0400000000000063,48,31.7,31.7,31.7,31.7,0,0,48,103.7,106.7,114.3,107.127083333333,3.01716645873513,4.25000000000001,48,9.9,10.2,10.9,10.2395833333333,0.275788682079451,0.4,48,9.44,11.035,12.44,10.9683333333333,0.950245955469701,1.74,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"kacpgwq",2002-07-03,48,8.4,8.6,8.7,8.59583333333333,0.0797825057700641,0,48,48.88,48.95,48.99,48.9372916666667,0.0347476975103321,0.052500000000002,48,31.6,31.7,31.7,31.6770833333333,0.0424744395393785,0,48,104.6,107.65,113.8,107.95625,2.28388491810532,3.05,48,10,10.2,10.8,10.2770833333333,0.207558844087322,0.300000000000001,48,9.78,10.885,12.46,10.9572916666667,0.863608805212011,1.5,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"kacpgwq",2002-07-04,48,8.7,8.8,9,8.7875,0.0732962511014852,0.100000000000001,48,48.8,48.84,48.89,48.845625,0.02583962403389,0.0349999999999966,48,31.6,31.6,31.6,31.6,0,0,48,106,108.15,113.1,108.754166666667,2.10166684945528,3.52499999999999,48,10.1,10.2,10.7,10.3083333333333,0.189998133622786,0.300000000000001,48,9.6,10.85,12.56,10.9122916666667,0.885642547324374,1.415,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"kacpgwq",2002-07-05,48,8.5,8.8,9,8.78958333333333,0.143274150737332,0.200000000000001,48,48.83,48.98,49.11,48.981875,0.0707003340447735,0.0700000000000003,48,31.6,31.7,31.8,31.7104166666667,0.0592132221193786,0,48,103.9,107.1,111.7,107.65,2.14743785979993,2.49999999999999,48,9.9,10.1,10.6,10.1895833333333,0.191566424603742,0.200000000000001,48,9.26,10.91,12.77,10.9166666666667,1.00779796466785,1.59,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"kacpgwq",2002-07-06,48,8.6,8.7,8.7,8.65208333333333,0.0504852341308645,0.0999999999999996,48,48.83,49.035,49.16,49.0235416666667,0.0785097793971741,0.122500000000002,48,31.6,31.75,31.8,31.7395833333333,0.0676020374026769,0.100000000000001,48,103.4,106.35,107.9,105.908333333333,1.39159075259037,2.17500000000001,48,9.8,10.1,10.3,10.05625,0.128669542098469,0.199999999999999,48,8.93,10.875,12.98,10.900625,1.15576889070584,1.885,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"kacpgwq",2002-07-07,48,8.6,8.7,8.7,8.68125,0.0394442779605582,0,48,48.87,48.93,49.03,48.935,0.0325511054817675,0.0425000000000111,48,31.6,31.7,31.7,31.6875,0.0334218682391589,0,48,104.5,106.5,108,106.422916666667,0.779317645705395,0.950000000000017,48,9.9,10.1,10.2,10.10625,0.0782963546337639,0.0999999999999996,48,8.51,10.94,13.15,10.87875,1.3462819169847,2.1325,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"kacpgwq",2002-07-08,48,8.6,8.7,8.8,8.72708333333333,0.0494203994978276,0.100000000000001,48,48.84,48.88,49.19,48.9052083333333,0.0608097690686649,0.0399999999999991,48,31.6,31.6,31.9,31.6458333333333,0.0650967637635094,0.0999999999999979,48,104,106,108.7,106.25625,1.10490324020376,1.59999999999999,48,9.9,10.1,10.3,10.08125,0.110427120473959,0.199999999999999,48,8.1,10.885,13.25,10.8625,1.5602679802562,2.5875,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"kacpgwq",2002-07-09,48,8.6,8.7,8.7,8.65833333333333,0.0498223795452012,0.0999999999999996,48,48.62,48.835,49.16,48.8425,0.102614751542078,0.142499999999998,48,31.4,31.6,31.8,31.6104166666667,0.085650411019454,0.0999999999999979,48,103.1,104.75,107.1,104.8125,0.765652273721772,1,48,9.8,9.95,10.2,9.95625,0.0769256341637124,0.0999999999999996,48,7.67,10.99,13.52,10.836875,1.79028008773856,3.0325,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"kacpgwq",2002-07-10,47,8.5,8.7,8.8,8.68085106382979,0.0875718285859511,0.15,47,48.63,49.29,49.48,49.1625531914894,0.283989192117575,0.555000000000007,47,31.4,31.9,32.1,31.8276595744681,0.208203629066202,0.399999999999999,46,98.8,103,110.2,102.60652173913,1.94289613994882,2.15000000000001,46,9.4,9.8,10.4,9.73260869565217,0.186254721432877,0.200000000000001,47,7.38,10.83,13.79,10.8897872340426,1.95180907093873,3.41,29,8.1,8.1,8.1,8.1,0,0,29,0,0,1,0.0344827586206897,0.185695338177052,0,46,0,46,0
"kacpgwq",2002-07-11,48,8.6,8.7,8.8,8.69583333333333,0.0824061899485957,0.200000000000001,48,49.48,49.53,49.55,49.5258333333333,0.0169897758157517,0.019999999999996,48,32.1,32.1,32.1,32.1,0,0,48,97.1,100.4,105.4,100.391666666667,2.09353953901483,2.65000000000002,48,9.2,9.5,9.9,9.48958333333333,0.188204939602499,0.299999999999999,48,7.2,10.905,13.99,10.8666666666667,2.12364934130442,3.7075,48,8.1,8.1,8.1,8.1,0,0,48,0,0,1,0.0625,0.244623027395041,0,48,0,48,0
"kacpgwq",2002-07-12,48,8.6,8.7,8.8,8.66458333333333,0.0525502123943855,0.0999999999999996,48,49.53,49.555,49.57,49.5554166666667,0.0107105701088578,0.0100000000000051,48,32.1,32.1,32.1,32.1,0,0,48,96.7,97.9,102,98.35,1.46127312605692,1.64999999999999,48,9.2,9.3,9.7,9.32083333333333,0.135204074805354,0.200000000000001,48,7.17,11.19,14.05,10.8939583333333,2.17007769209222,3.9,48,8.1,8.1,8.2,8.11041666666667,0.0308709278188583,0,48,0,0,1,0.0208333333333333,0.144337567297406,0,48,0,48,0
"kacpgwq",2002-07-13,48,8.5,8.6,8.8,8.61875,0.0641018139617865,0,48,49.52,49.6,49.62,49.594375,0.0225884785167594,0.019999999999996,48,32.1,32.1,32.2,32.11875,0.0394442779605589,0,48,95,96.5,101,96.8708333333333,1.41616177903415,1.52500000000001,48,9,9.2,9.6,9.18958333333333,0.124181718826807,0.0999999999999996,48,7.27,10.955,13.92,10.8979166666667,2.12198417618314,3.8275,48,8.1,8.2,8.2,8.19375,0.024462302739504,0,48,0,0,1,0.0208333333333333,0.144337567297406,0,48,0,48,0
"kacpgwq",2002-07-14,48,8.5,8.6,8.7,8.58125,0.0673392490905941,0.0999999999999996,48,49.55,49.63,49.65,49.62,0.0242329123828158,0.0125000000000099,48,32.1,32.2,32.2,32.1770833333333,0.04247443953938,0,48,94.7,95.8,99.9,96.14375,1.21671099210037,0.799999999999997,48,9,9.1,9.5,9.12708333333333,0.110587566792466,0,48,7.5,11.155,13.63,10.92625,1.97193567824839,3.51,48,8.2,8.2,8.2,8.2,0,0,48,0,0,1,0.0833333333333333,0.279310193865464,0,48,0,48,0
"kacpgwq",2002-07-15,48,8.4,8.5,8.6,8.5375,0.0530956583551819,0.0999999999999996,48,49.52,49.63,49.9,49.6289583333333,0.0734337038780434,0.0724999999999909,48,32.1,32.2,32.4,32.1708333333333,0.0650967637635101,0.100000000000001,48,94.3,95.75,100,96.0791666666667,1.4377817331072,1.42500000000001,48,8.9,9.1,9.5,9.11666666666667,0.138891252934963,0.199999999999999,48,7.89,11.07,13.39,10.946875,1.79194789562596,3.3025,48,8.2,8.2,8.2,8.2,0,0,47,0,0,1,0.0638297872340425,0.247092248145165,0,48,0,48,0
"kacpgwq",2002-07-16,48,8.5,8.6,8.7,8.59583333333333,0.0650967637635101,0,48,49.53,49.63,49.66,49.6239583333333,0.0271903912418796,0.0300000000000011,48,32.1,32.2,32.2,32.1791666666667,0.0410414079086063,0,48,94.7,95.9,102.3,96.60625,1.87938494352739,1.82499999999999,48,9,9.1,9.7,9.16041666666667,0.177139905439996,0.199999999999999,48,8.35,10.955,13.29,10.9358333333333,1.61284185996279,3.0275,48,8.2,8.2,8.2,8.2,0,0,47,0,0,0,0,0,0,48,0,48,0
"kacpgwq",2002-07-17,48,8.6,8.8,8.9,8.74583333333333,0.0742575544787411,0.100000000000001,48,49.21,49.58,49.71,49.5408333333333,0.111084275719189,0.105000000000004,48,31.9,32.1,32.2,32.1125,0.0841098572410308,0.100000000000001,48,95.2,96.5,104.8,97.5354166666667,2.42289518949763,2.22500000000001,48,9,9.1,9.9,9.22916666666667,0.229669821592552,0.200000000000001,48,8.8,10.995,13.19,10.9097916666667,1.47201915110017,2.7775,48,8.2,8.2,8.2,8.2,0,0,47,0,0,0,0,0,0,48,0,48,0
"kacpgwq",2002-07-18,48,8.7,8.9,8.9,8.85833333333333,0.0613095852883296,0.0999999999999996,48,49.06,49.475,49.79,49.4872916666667,0.155587282521,0.225000000000001,48,31.8,32.1,32.3,32.0875,0.121383864468024,0.200000000000003,48,94.3,96,98.2,96.1104166666667,0.812204665364412,1,48,8.9,9.1,9.2,9.05416666666667,0.0797825057700641,0.0999999999999996,48,8.78,10.84,13.21,10.9089583333333,1.39683264746907,2.4875,48,8.1,8.2,8.2,8.19375,0.024462302739504,0,48,0,0,0,0,0,0,48,0,48,0
