"station","date","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","maxwspd_nValid","maxwspd_min","maxwspd_median","maxwspd_max","maxwspd_mean","maxwspd_sd","maxwspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totpar_nValid","totpar_total","totprcp_nValid","totprcp_total"
"lkspomet",2013-08-27,32,18.8,19.1,24.5,20.59375,2.22245686485228,3.675,32,76,97,98,91.3125,8.77105761085305,15.5,1,990,990,990,990,NA,0,32,0.3,0.85,2.1,0.9875,0.51289815375865,0.825,32,0.9,2.15,4.3,2.23125,0.967683465975616,1.7,32,7,37.5,355,92.03125,117.43151315664,53,32,4620.4,32,0
"lkspomet",2013-08-28,96,18.7,20.8,28.5,21.9510416666667,3.11880526354722,5.075,96,65,95.5,99,89.53125,10.2976268344242,17,0,NA,NA,NA,NA,NA,NA,96,0,0.5,1.8,0.580208333333333,0.415899732771372,0.5,96,0,1.4,3.6,1.43020833333333,0.69723058055147,0.9,96,7,113,358,127.104166666667,97.2700504744304,140,96,25081.5,96,0
"lkspomet",2013-08-29,96,17.2,20.9,24.2,20.66875,1.91224929557342,3.4,96,73,94,99,91.65625,7.07973850989011,12,0,NA,NA,NA,NA,NA,NA,96,0,0.6,2.7,0.795833333333333,0.674484858659854,1,96,0,1.65,7.2,1.96145833333333,1.49907829869358,1.9,96,1,147,359,151.239583333333,107.682549511507,130,96,15657.5,96,1.3
"lkspomet",2013-08-30,94,16,21.5,24.7,21.4340425531915,2.30163818198048,2.875,94,56,78.5,98,78.1276595744681,13.2966436403296,24.75,0,NA,NA,NA,NA,NA,NA,94,0,1.45,3.2,1.4468085106383,0.951704992655324,1.7,94,0.3,3.25,7.1,3.19787234042553,1.86207068940602,3.1,94,1,44,352,119.170212765957,128.427431355943,233,93,38616.7,94,0
"lkspomet",2013-08-31,96,13.8,18.9,29.4,20.4010416666667,5.23386733922072,9.825,96,50,94,99,83.1354166666667,17.6507759135647,31.25,0,NA,NA,NA,NA,NA,NA,96,0,0.8,4.1,1.02916666666667,0.83966367536014,1.325,96,0.2,1.6,10.8,2.47916666666667,1.99657162296123,2.925,96,6,180,332,174.239583333333,62.4474085748904,44.25,91,40878.4,96,9
"lkspomet",2013-09-01,96,13.5,18.1,21.9,18.3520833333333,1.96870137088368,2.45,96,67,75,97,78.0208333333333,9.28720587595947,16.25,0,NA,NA,NA,NA,NA,NA,96,0.2,2.2,5.6,2.24375,1.09032226042531,1.5,96,0.7,4.55,9,4.58125,1.90082045997317,2.65,96,162,295.5,355,285.135416666667,46.2300016033486,49.25,92,17484.8,96,0.3
"lkspomet",2013-09-02,96,9.2,13.4,20.7,13.6354166666667,2.86043718287834,3.45,96,47,80.5,98,77.9583333333333,15.2259589044961,29,0,NA,NA,NA,NA,NA,NA,96,0,0.9,3.1,0.972916666666667,0.727718737840045,1.225,96,0,2.6,5.9,2.29270833333333,1.47278788923139,2.5,96,1,252.5,358,220.197916666667,120.284016507568,154.25,96,32613.2,96,0
"lkspomet",2013-09-03,96,7.3,17.7,25.4,16.3354166666667,6.39986807703946,13.15,96,45,82,99,76.875,19.445605646196,40.25,0,NA,NA,NA,NA,NA,NA,96,0.1,1.15,2.8,1.115625,0.723635285427535,1.325,96,0.5,2.05,6.7,2.575,1.66138813235071,3.125,96,129,185,273,192.520833333333,30.0417180694015,44.25,96,42739.9,96,0
"lkspomet",2013-09-04,96,9.7,15.75,21.1,15.6416666666667,2.66741217649209,1.825,96,58,85.5,98,82.8333333333333,11.7542079064806,18.25,0,NA,NA,NA,NA,NA,NA,96,0,1.1,3.4,1.33645833333333,1.01266919747209,1.8,96,0,2.4,7.3,3.18958333333333,2.28000365496783,4.125,96,2,61.5,355,92.375,86.2798689699613,153.25,92,34818.2,96,0
"lkspomet",2013-09-05,96,7.2,13.05,20.6,13.6541666666667,4.6896507931192,9.725,96,66,97,99,87.6875,13.3529515759428,28,0,NA,NA,NA,NA,NA,NA,96,0,0.7,2.5,0.847916666666667,0.689466485833589,1.225,96,0,1.25,4.9,1.83958333333333,1.35137194744855,2.4,96,7,110,358,126.84375,110.318994702206,134.75,91,40728.5,96,0
