"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"nartbwq",2002-07-03,25,17,17.9,21.2,18.256,1.23998655906694,1.5,25,46.45,47.81,48.24,47.6628,0.520396643596657,0.670000000000002,25,30.2,31.2,31.5,31.104,0.374699879903904,0.5,25,63.6,74.6,109.5,79.096,13.0221759574453,14.3,25,5.1,5.9,8.1,6.18,0.874642784226795,1.1,25,5.31,5.6,6.09,5.6704,0.280675969758724,0.54,0,NA,NA,NA,NA,NA,NA,25,7.7,7.8,8,7.816,0.098657657246325,0.2,25,1,2,5,2.72,1.02143689640297,1,25,0,25,0
"nartbwq",2002-07-04,48,16.9,18.25,20.6,18.49375,1.02757849003932,1.625,48,46.83,47.665,48.32,47.6210416666667,0.422148706194682,0.729999999999997,48,30.5,31.1,31.6,31.0708333333333,0.30103250219185,0.525000000000002,48,58.8,79.25,102.1,78.65,10.4565972252887,12.675,48,4.7,6.2,7.7,6.12083333333333,0.72463001075188,0.925000000000001,48,5.26,5.615,6.14,5.65145833333333,0.28348131825822,0.534999999999999,0,NA,NA,NA,NA,NA,NA,48,7.7,7.8,8,7.84375,0.087290783311091,0.100000000000001,48,2,3,5,2.8125,0.762310318227817,1,48,0,48,2
"nartbwq",2002-07-05,48,16.9,19,22.7,19.1416666666667,1.64262806208667,2.225,48,46.09,47.52,48.45,47.509375,0.654302962717789,0.997499999999995,48,29.9,31,31.7,30.99375,0.489205282586603,0.699999999999999,48,60.6,80.15,105.6,81.8854166666667,11.22961490375,16.175,48,4.8,6.1,7.7,6.28333333333333,0.700557022549893,0.925000000000001,48,5.2,5.65,6.1,5.63916666666667,0.279321619957866,0.517499999999999,0,NA,NA,NA,NA,NA,NA,48,7.7,7.9,8.1,7.88541666666667,0.0967329804334907,0.100000000000001,48,1,3,5,2.72916666666667,0.843992117875197,1,48,0,48,1
"nartbwq",2002-07-06,48,17.4,20.35,23.3,20.34375,1.79703138773663,3.125,48,45.38,47.025,48.34,47.0116666666667,0.811644858227122,1.38,48,29.4,30.6,31.6,30.6229166666667,0.595457836845728,1.025,48,66.1,87,116.6,87.78125,13.0137023735786,20.025,48,5.2,6.5,8.4,6.60833333333333,0.814452781524708,1.225,48,5.25,5.66,6.26,5.69291666666667,0.325915785580846,0.56,0,NA,NA,NA,NA,NA,NA,48,7.7,7.9,8.2,7.93541666666667,0.110105526429669,0.0999999999999996,48,1,2,5,2.52083333333333,0.771557786844068,1,48,0,48,0
"nartbwq",2002-07-07,48,16.7,19.45,21.7,19.2916666666667,1.44204838549172,2.225,48,46.13,47.245,48.53,47.306875,0.691391308514478,1.1,48,30,30.8,31.7,30.84375,0.507772042169033,0.824999999999999,48,57,75.85,100.1,77.1354166666667,12.1722301595368,19.55,48,4.6,5.8,7.4,5.90833333333333,0.805257546572559,1.25,48,5.17,5.665,6.3,5.70125,0.358760425009771,0.65,0,NA,NA,NA,NA,NA,NA,48,7.7,7.9,8.1,7.87708333333333,0.103635168871143,0.2,48,2,3,7,3.02083333333333,1.04147161294362,1,48,0,48,5
"nartbwq",2002-07-08,48,17.7,19.05,21,19.0395833333333,0.854709004439232,1.225,48,46.38,47.3,48.15,47.3366666666667,0.411687411542659,0.562499999999993,48,30.2,30.85,31.5,30.8666666666667,0.303408532491511,0.400000000000002,48,58.7,73.85,96.9,73.2291666666667,8.36558192792993,10.45,48,4.6,5.7,7.3,5.65416666666667,0.59105327309068,0.7,48,5.15,5.705,6.34,5.705625,0.387632784387382,0.745,0,NA,NA,NA,NA,NA,NA,48,7.7,7.8,8,7.84583333333333,0.0650967637635105,0.100000000000001,48,1,3,9,2.8125,1.23178213741008,1,48,0,48,5
"nartbwq",2002-07-09,47,17.5,19.9,22.3,19.8553191489362,1.24757303709491,2.15,47,46.67,47.34,48.76,47.4512765957447,0.537464324483502,0.75,47,30.4,30.9,31.9,30.9489361702128,0.402099025455136,0.599999999999998,47,58.2,78.8,112.2,80.5808510638298,14.3602052531333,20.65,47,4.6,6.1,8.2,6.11276595744681,0.966980288742181,1.45,47,5.08,5.68,6.38,5.71170212765957,0.425815428217929,0.815,0,NA,NA,NA,NA,NA,NA,47,7.7,7.9,8,7.86808510638298,0.104478795391225,0.15,47,1,2,5,2.36170212765957,0.81894767882176,1,47,0,47,7
"nartbwq",2002-07-10,48,17.2,18.55,20.9,18.73125,1.07112115650607,1.625,48,47.48,48.465,49.11,48.43,0.439443555303604,0.632499999999993,48,31,31.7,32.2,31.6625,0.325919321696826,0.5,48,57.7,69.9,92,71.4895833333333,8.77518841607339,10.125,48,4.5,5.45,6.9,5.525,0.58691403553364,0.725000000000001,48,5.08,5.675,6.54,5.71083333333333,0.477332273464492,0.892500000000001,0,NA,NA,NA,NA,NA,NA,48,7.7,7.8,8,7.8,0.074376843799781,0,48,1,3,21,3.58333333333333,2.87937148382142,2,48,0,48,8
"nartbwq",2002-07-11,48,17.7,19,19.8,18.9,0.600354505200797,0.550000000000001,48,47.99,48.47,49.09,48.5222916666667,0.26521961661133,0.275000000000013,48,31.3,31.7,32.1,31.7333333333333,0.197142710306393,0.199999999999999,48,64.9,76.25,94.1,77.8395833333333,6.95097542774848,6.47499999999999,48,5.1,5.9,7.2,5.99375,0.503353118299795,0.5,48,5.09,5.685,6.59,5.7475,0.497664759417379,0.9475,0,NA,NA,NA,NA,NA,NA,48,7.7,7.8,7.9,7.80625,0.0479638605086541,0,48,2,3,5,2.97916666666667,0.811868958437111,2,48,0,48,0
"nartbwq",2002-07-12,48,17.9,19.3,20.7,19.3041666666667,0.736570065229987,1.125,48,47.09,48.48,48.99,48.4433333333333,0.343711490428357,0.449999999999996,48,30.7,31.7,32.1,31.6791666666667,0.256787297801229,0.399999999999999,48,68.1,83.5,105.6,84.16875,10.8991734265943,16.625,48,5.3,6.35,7.9,6.43125,0.768573215272327,1.2,48,5.08,5.66,6.57,5.74666666666667,0.508976166032018,0.987500000000001,0,NA,NA,NA,NA,NA,NA,48,7.7,7.8,7.9,7.82708333333333,0.0643778187429437,0.100000000000001,48,1,3,7,2.91666666666667,1.02797742613954,1,48,0,48,0
