"event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","site_station"
1,28,32,34,7,2002-01-28,2002-02-01,2002-02-03,4.9676,6.3988,1.1329,34.7729,1.989,3.4472,1.1504,13.9232,15.781,17.2146,1.132,110.4667,0.7046,1.3776,"ace_bb"
2,75,77,80,6,2002-03-16,2002-03-18,2002-03-21,3.3984,3.6901,0.3448,20.3904,0.7854,1.0681,0.3341,4.7121,19.3618,19.9146,0.5596,116.1708,0.4058,0.3978,"ace_bb"
3,88,93,94,7,2002-03-29,2002-04-03,2002-04-04,3.4158,4.169,0.5943,23.9106,0.9022,1.6741,0.5954,6.3154,21.4949,22.5146,0.724,150.4646,0.302,1.5375,"ace_bb"
4,104,111,113,10,2002-04-14,2002-04-21,2002-04-23,3.7878,4.6987,0.8673,37.8781,1.5919,2.5531,0.8856,15.9192,24.3337,25.6229,1.0487,243.3375,0.3385,1.0393,"ace_bb"
5,128,132,134,7,2002-05-08,2002-05-12,2002-05-14,2.9592,3.6624,0.6222,20.7144,1.0556,1.7599,0.6201,7.3894,26.628,27.4542,0.6852,186.3958,0.3303,0.9224,"ace_bb"
6,197,201,201,5,2002-07-16,2002-07-20,2002-07-20,1.559,1.7005,0.1154,7.7948,0.3043,0.4137,0.0973,1.5215,31.2008,31.3833,0.143,156.0042,0.1171,1.1436,"ace_bb"
7,276,280,281,6,2002-10-03,2002-10-07,2002-10-08,3.2013,4.2602,0.7605,19.2075,1.2022,2.2551,0.7564,7.2131,28.1889,29.0146,0.5612,169.1333,0.5248,1.111,"ace_bb"
8,673,676,678,6,2003-11-04,2003-11-07,2003-11-09,4.0076,5.1422,1.0392,24.0458,1.5848,2.7104,1.0314,9.5086,22.6288,23.6625,1.0214,135.7729,0.7802,1.2509,"ace_bb"
9,692,697,697,6,2003-11-23,2003-11-28,2003-11-28,3.0612,3.6983,0.438,18.3675,0.7821,1.4056,0.4351,4.6924,18.4549,18.9625,0.3432,110.7292,0.2332,2.1592,"ace_bb"
10,869,877,880,12,2004-05-18,2004-05-26,2004-05-29,1.9364,2.1174,0.0846,23.2374,0.1606,0.3495,0.0861,1.927,27.1724,27.8125,0.4653,326.0688,0.0286,0.0968,"ace_bb"
11,918,919,923,6,2004-07-06,2004-07-07,2004-07-11,1.6056,1.7906,0.1617,9.6333,0.4285,0.6065,0.1652,2.5709,30.9556,31.1333,0.1756,185.7333,0.488,0.1325,"ace_bb"
12,1035,1039,1043,9,2004-10-31,2004-11-04,2004-11-08,3.781,5.1905,0.9404,34.0289,1.4031,2.8195,0.951,12.6282,22.9079,24.3062,1.1231,206.1708,0.6954,0.6945,"ace_bb"
13,1106,1110,1110,5,2005-01-10,2005-01-14,2005-01-14,3.3938,4.2043,0.5258,16.9689,0.4987,1.2575,0.4911,2.4935,14.5238,15.2458,0.4623,72.6188,0.2944,1.9822,"ace_bb"
14,1328,1330,1332,5,2005-08-20,2005-08-22,2005-08-24,2.0475,2.2705,0.2961,10.2374,0.7185,0.9433,0.3074,3.5923,31.3983,31.625,0.2473,156.9917,0.4005,0.2516,"ace_bb"
15,1360,1363,1366,7,2005-09-21,2005-09-24,2005-09-27,2.5691,2.9503,0.3191,17.9838,0.6904,1.069,0.2931,4.8331,29.0613,29.4458,0.274,203.4292,0.2955,0.2316,"ace_bb"
16,1816,1819,1821,6,2006-12-21,2006-12-24,2006-12-26,3.5654,4.0373,0.5589,21.3925,0.9283,1.3876,0.5288,5.57,15.7663,16.2104,0.4706,94.5979,0.4459,0.419,"ace_bb"
17,1830,1834,1843,14,2007-01-04,2007-01-08,2007-01-17,3.9299,5.4717,0.9755,55.0189,1.0323,2.6241,0.9901,14.4525,15.1473,16.799,1.0717,212.0625,0.5036,0.3373,"ace_bb"
18,2116,2123,2125,10,2007-10-17,2007-10-24,2007-10-26,2.9748,3.7035,0.4508,29.7483,0.7427,1.4114,0.4474,7.427,24.9336,25.951,0.7557,249.3365,0.2313,0.5447,"ace_bb"
19,2172,2176,2176,5,2007-12-12,2007-12-16,2007-12-16,3.6505,4.2368,0.5993,18.2524,1.2403,1.8093,0.5983,6.2016,16.6656,17.05,0.4481,83.3281,0.4111,2.0414,"ace_bb"
20,2351,2355,2358,8,2008-06-08,2008-06-12,2008-06-15,1.9419,2.1574,0.2181,15.5355,0.3746,0.6023,0.2346,2.9967,29.598,30.0156,0.3734,236.7844,0.1236,0.233,"ace_bb"
21,3075,3078,3081,7,2010-06-02,2010-06-05,2010-06-08,2.1392,2.3879,0.2204,14.9747,0.4555,0.704,0.2267,3.1883,29.0287,29.4031,0.4118,203.201,0.2223,0.1934,"ace_bb"
22,3085,3098,3104,20,2010-06-12,2010-06-25,2010-07-01,2.3457,2.8597,0.3419,46.9132,0.9547,1.5374,0.3577,19.0934,30.8123,31.6042,0.5404,616.2457,0.0947,0.264,"ace_bb"
23,3126,3138,3140,15,2010-07-23,2010-08-04,2010-08-06,1.9441,2.6107,0.2932,29.1619,0.5784,1.2114,0.2797,8.6766,31.707,32.3823,0.2957,475.6048,0.0939,0.4144,"ace_bb"
24,3152,3160,3162,11,2010-08-18,2010-08-26,2010-08-28,2.1198,2.5837,0.262,23.3176,0.786,1.266,0.2648,8.6458,31.4093,31.8646,0.3063,345.5021,0.1098,0.4088,"ace_bb"
25,3186,3190,3191,6,2010-09-21,2010-09-25,2010-09-26,2.1748,2.6264,0.3312,13.0488,0.3063,0.7237,0.2955,1.8378,28.7243,29.0094,0.1769,172.3456,0.1892,0.4036,"ace_bb"
26,3249,3252,3254,6,2010-11-23,2010-11-26,2010-11-28,3.651,4.4805,0.6507,21.906,1.3718,2.2087,0.6615,8.2309,19.0446,19.7927,0.6878,114.2677,0.5603,0.7633,"ace_bb"
27,3398,3404,3411,14,2011-04-21,2011-04-27,2011-05-04,2.7903,3.6646,0.5422,39.0646,0.7025,1.559,0.5262,9.8346,24.6869,25.5042,0.7184,345.6159,0.1864,0.2949,"ace_bb"
28,3431,3432,3446,16,2011-05-24,2011-05-25,2011-06-08,2.2513,2.65,0.2203,36.0209,0.5291,0.8762,0.2023,8.465,28.536,29.3427,0.5763,456.5753,0.5637,0.0709,"ace_bb"
29,3501,3507,3508,8,2011-08-02,2011-08-08,2011-08-09,1.9399,2.2382,0.2571,15.5194,0.5295,0.8235,0.2472,4.2361,31.706,32.0021,0.2566,253.6482,0.197,0.4646,"ace_bb"
30,3678,3679,3691,14,2012-01-26,2012-01-27,2012-02-08,3.7347,4.5337,0.4832,52.2852,0.7995,1.4642,0.4534,11.1929,14.6127,15.325,0.4501,204.5781,0.8922,0.139,"ace_bb"
31,3712,3715,3716,5,2012-02-29,2012-03-03,2012-03-04,2.9704,3.4812,0.4671,14.8519,0.7442,1.2485,0.468,3.7212,16.2569,16.925,0.5894,81.2844,0.3745,1.0785,"ace_bb"
32,3726,3736,3749,24,2012-03-14,2012-03-24,2012-04-06,3.8935,5.3318,0.6638,93.4441,1.3383,2.7481,0.6407,32.1192,20.9647,22.8115,1.1804,503.1521,0.2605,0.2216,"ace_bb"
33,3774,3779,3782,9,2012-05-01,2012-05-06,2012-05-09,2.3875,2.6842,0.2157,21.4876,0.398,0.7115,0.1967,3.5823,25.3125,25.7365,0.318,227.8123,0.128,0.188,"ace_bb"
34,3843,3845,3848,6,2012-07-09,2012-07-11,2012-07-14,1.3903,1.5748,0.1426,8.3419,0.2156,0.4059,0.1482,1.2934,30.8488,31.0188,0.1389,185.0927,0.1715,0.1186,"ace_bb"
35,4030,4035,4036,7,2013-01-12,2013-01-17,2013-01-18,4.5013,5.731,0.8945,31.5088,1.5284,2.7015,0.8452,10.6989,15.5125,16.6708,0.8306,108.5875,0.5458,1.342,"ace_bb"
36,4551,4552,4555,5,2014-06-17,2014-06-18,2014-06-21,1.6647,1.7541,0.0753,8.3236,0.2472,0.3229,0.0741,1.2358,29.9908,30.0792,0.1249,149.9542,0.247,0.0827,"ace_bb"
37,4627,4628,4631,5,2014-09-01,2014-09-02,2014-09-05,2.059,2.2086,0.184,10.295,0.6458,0.8138,0.1921,3.2289,30.639,30.8729,0.2461,153.1948,0.4056,0.2048,"ace_bb"
38,4638,4640,4642,5,2014-09-12,2014-09-14,2014-09-16,1.9765,2.2144,0.2519,9.8825,0.3345,0.5746,0.2489,1.6723,29.535,29.8177,0.2711,147.675,0.3697,0.2036,"ace_bb"
1,586,589,591,6,2004-05-23,2004-05-26,2004-05-28,2.0126,2.1307,0.0825,12.0756,0.1268,0.2521,0.0845,0.7607,27.758,27.9729,0.2383,166.5479,0.0519,0.101,"ace_fc"
2,748,751,752,5,2004-11-01,2004-11-04,2004-11-05,4.5651,5.2013,0.5022,22.8257,1.5086,2.135,0.4927,7.543,23.1496,23.5688,0.4065,115.7479,0.5081,1.0927,"ace_fc"
3,817,822,822,6,2005-01-09,2005-01-14,2005-01-14,4.6867,6.1514,0.8529,28.12,0.8568,2.379,0.8904,5.1407,15.5965,16.8958,0.7458,93.5792,0.4666,3.0807,"ace_fc"
4,1069,1074,1078,10,2005-09-18,2005-09-23,2005-09-27,2.5918,2.9481,0.2668,25.9178,0.431,0.7561,0.2657,4.31,28.4279,28.8583,0.4268,284.2792,0.2587,0.2351,"ace_fc"
5,1543,1546,1547,5,2007-01-05,2007-01-08,2007-01-09,5.5376,6.2962,0.8151,27.6881,1.6436,2.4065,0.8099,8.2181,16.7248,17.425,0.8286,83.624,0.6009,1.7724,"ace_fc"
6,1764,1772,1773,10,2007-08-14,2007-08-22,2007-08-23,2.0557,2.6538,0.3597,20.5567,0.533,1.1441,0.3658,5.3302,31.1066,31.5448,0.2687,311.0656,0.1321,0.6014,"ace_fc"
7,1883,1886,1888,6,2007-12-11,2007-12-14,2007-12-16,4.4623,5.1537,0.7699,26.7741,1.3019,1.9671,0.6958,7.8113,16.9941,17.6479,0.6657,101.9646,0.7163,0.6635,"ace_fc"
8,2061,2063,2068,8,2008-06-06,2008-06-08,2008-06-13,2.3423,2.6285,0.2503,18.7382,0.5891,0.8602,0.2363,4.7127,29.8616,30.075,0.2402,238.8927,0.2768,0.1572,"ace_fc"
9,2797,2799,2803,7,2010-06-12,2010-06-14,2010-06-18,2.7899,3.413,0.4647,19.5292,1.1086,1.7123,0.4532,7.7599,30.7884,31.3375,0.4551,215.5188,0.5658,0.3602,"ace_fc"
10,2808,2812,2813,6,2010-06-23,2010-06-27,2010-06-28,1.9925,2.2354,0.2443,11.9549,0.4681,0.7268,0.2443,2.8085,30.6931,31.0198,0.2645,184.1583,0.157,0.4896,"ace_fc"
11,2838,2848,2852,15,2010-07-23,2010-08-02,2010-08-06,1.913,2.6431,0.4892,28.6947,0.4073,1.1275,0.4826,6.1099,31.3933,32.1208,0.4874,470.8997,0.1078,0.281,"ace_fc"
12,3113,3116,3118,6,2011-04-24,2011-04-27,2011-04-29,3.0389,3.4562,0.4009,18.2333,0.8435,1.2681,0.3965,5.0613,24.9035,25.3875,0.4066,149.421,0.2738,0.5923,"ace_fc"
13,3151,3156,3157,7,2011-06-01,2011-06-06,2011-06-07,2.3057,2.6283,0.2627,16.1401,0.4888,0.8326,0.2643,3.4214,29.231,29.7917,0.3932,204.6167,0.1284,0.5833,"ace_fc"
14,3213,3216,3219,7,2011-08-02,2011-08-05,2011-08-08,2.0975,2.6938,0.3919,14.6828,0.5831,1.1819,0.3935,4.0817,31.5409,32.1406,0.4049,220.7866,0.2759,0.2763,"ace_fc"
15,3388,3391,3393,6,2012-01-24,2012-01-27,2012-01-29,4.629,6.0792,0.9078,27.7741,1.1204,2.5778,0.9216,6.7226,15.0972,16.5521,0.9211,90.5833,0.8856,0.9893,"ace_fc"
16,3397,3400,3401,5,2012-02-02,2012-02-05,2012-02-06,4.1281,4.5148,0.2701,20.6406,0.8274,1.2348,0.2777,4.137,14.9952,15.4594,0.3441,74.976,0.2531,0.5325,"ace_fc"
17,3438,3448,3461,24,2012-03-14,2012-03-24,2012-04-06,4.2368,5.8931,0.7763,101.6842,1.1802,2.774,0.7653,28.3259,21.6503,23.9021,1.2044,519.6062,0.278,0.2684,"ace_fc"
18,3490,3491,3494,5,2012-05-05,2012-05-06,2012-05-09,2.6505,3.3203,0.4424,13.2523,0.4924,1.1488,0.4316,2.4622,25.9596,26.4885,0.3,129.7979,0.5456,0.4155,"ace_fc"
19,3551,3554,3557,7,2012-07-05,2012-07-08,2012-07-11,2.1266,2.4715,0.3395,14.8863,0.7309,1.079,0.3449,5.1162,31.3353,31.6823,0.3573,219.3469,0.309,0.2859,"ace_fc"
20,3610,3614,3616,7,2012-09-02,2012-09-06,2012-09-08,2.0429,2.3623,0.2314,14.3002,0.4455,0.751,0.2163,3.1184,29.8866,30.1427,0.2126,209.2062,0.2463,0.232,"ace_fc"
